Date,Open,High,Low,Close,Adj Close,Volume
2025-08-08,228.87,228.87,228.87,228.87,228.87,113854000
2025-08-11,226.96,226.96,226.96,226.96,226.96,61806100
2025-08-12,229.43,229.43,229.43,229.43,229.43,55626200
2025-08-13,233.10,233.10,233.10,233.10,233.10,69878500
2025-08-14,232.55,232.55,232.55,232.55,232.55,51916300
2025-08-15,231.37,231.37,231.37,231.37,231.37,56038700
2025-08-18,230.67,230.67,230.67,230.67,230.67,37476200
2025-08-19,230.34,230.34,230.34,230.34,230.34,39402600
2025-08-20,225.79,225.79,225.79,225.79,225.79,42263900
2025-08-21,224.68,224.68,224.68,224.68,224.68,30621200
2025-08-22,227.54,227.54,227.54,227.54,227.54,42477800
2025-08-25,226.94,226.94,226.94,226.94,226.94,30983100
2025-08-26,229.09,229.09,229.09,229.09,229.09,54575100
2025-08-27,230.27,230.27,230.27,230.27,230.27,31259500
2025-08-28,232.33,232.33,232.33,232.33,232.33,38074700
2025-08-29,231.92,231.92,231.92,231.92,231.92,39418400
2025-09-02,229.50,229.50,229.50,229.50,229.50,44075600
2025-09-03,238.24,238.24,238.24,238.24,238.24,66427800
2025-09-04,239.55,239.55,239.55,239.55,239.55,47549400
2025-09-05,239.46,239.46,239.46,239.46,239.46,54870400
2025-09-08,237.65,237.65,237.65,237.65,237.65,48999500
2025-09-09,234.12,234.12,234.12,234.12,234.12,66313900
2025-09-10,226.57,226.57,226.57,226.57,226.57,83440800
2025-09-11,229.81,229.81,229.81,229.81,229.81,50208600
2025-09-12,233.84,233.84,233.84,233.84,233.84,55824200
2025-09-15,236.47,236.47,236.47,236.47,236.47,42699500
2025-09-16,237.92,237.92,237.92,237.92,237.92,63421100
2025-09-17,238.76,238.76,238.76,238.76,238.76,46508000
2025-09-18,237.65,237.65,237.65,237.65,237.65,44249600
2025-09-19,245.26,245.26,245.26,245.26,245.26,163741300
2025-09-22,255.83,255.83,255.83,255.83,255.83,105517400
2025-09-23,254.18,254.18,254.18,254.18,254.18,60275200
2025-09-24,252.07,252.07,252.07,252.07,252.07,42303700
2025-09-25,256.62,256.62,256.62,256.62,256.62,55202100
2025-09-26,255.21,255.21,255.21,255.21,255.21,46076300
2025-09-29,254.18,254.18,254.18,254.18,254.18,40127700
2025-09-30,254.38,254.38,254.38,254.38,254.38,37704300
2025-10-01,255.20,255.20,255.20,255.20,255.20,48713900
2025-10-02,256.88,256.88,256.88,256.88,256.88,42630200
2025-10-03,257.77,257.77,257.77,257.77,257.77,49155600
2025-10-06,256.44,256.44,256.44,256.44,256.44,44664100
2025-10-07,256.23,256.23,256.23,256.23,256.23,31955800
2025-10-08,257.81,257.81,257.81,257.81,257.81,36496900
2025-10-09,253.79,253.79,253.79,253.79,253.79,38322000
2025-10-10,245.03,245.03,245.03,245.03,245.03,61999100
2025-10-13,247.42,247.42,247.42,247.42,247.42,38142900
2025-10-14,247.53,247.53,247.53,247.53,247.53,35478000
2025-10-15,249.10,249.10,249.10,249.10,249.10,33893600
2025-10-16,247.21,247.21,247.21,247.21,247.21,39777000
2025-10-17,252.05,252.05,252.05,252.05,252.05,49147000
2025-10-20,261.99,261.99,261.99,261.99,261.99,90483000
2025-10-21,262.52,262.52,262.52,262.52,262.52,46695900
2025-10-22,258.20,258.20,258.20,258.20,258.20,45015300
2025-10-23,259.33,259.33,259.33,259.33,259.33,32754900
2025-10-24,262.57,262.57,262.57,262.57,262.57,38253700
2025-10-27,268.55,268.55,268.55,268.55,268.55,44888200
2025-10-28,268.74,268.74,268.74,268.74,268.74,41534800
2025-10-29,269.44,269.44,269.44,269.44,269.44,51086700
2025-10-30,271.14,271.14,271.14,271.14,271.14,69886500
2025-10-31,270.11,270.11,270.11,270.11,270.11,86167100
2025-11-03,268.79,268.79,268.79,268.79,268.79,50194600
2025-11-04,269.78,269.78,269.78,269.78,269.78,49274800
2025-11-05,269.88,269.88,269.88,269.88,269.88,43683100
2025-11-06,269.51,269.51,269.51,269.51,269.51,51204000
2025-11-07,268.21,268.21,268.21,268.21,268.21,48227400
2025-11-10,269.43,269.43,269.43,269.43,269.43,41312400
2025-11-11,275.25,275.25,275.25,275.25,275.25,46208300
2025-11-12,273.47,273.47,273.47,273.47,273.47,48398000
2025-11-13,272.95,272.95,272.95,272.95,272.95,49602800
2025-11-14,272.41,272.41,272.41,272.41,272.41,47431300
2025-11-17,267.46,267.46,267.46,267.46,267.46,45018300
2025-11-18,267.44,267.44,267.44,267.44,267.44,45677300
2025-11-19,268.56,268.56,268.56,268.56,268.56,40424500
2025-11-20,266.25,266.25,266.25,266.25,266.25,45823600
2025-11-21,271.49,271.49,271.49,271.49,271.49,59030800
2025-11-24,275.92,275.92,275.92,275.92,275.92,65585800
2025-11-25,276.97,276.97,276.97,276.97,276.97,46914200
2025-11-26,277.55,277.55,277.55,277.55,277.55,33431400
2025-11-28,278.85,278.85,278.85,278.85,278.85,20135600
2025-12-01,283.10,283.10,283.10,283.10,283.10,46587700
2025-12-02,286.19,286.19,286.19,286.19,286.19,53669500
2025-12-03,284.15,284.15,284.15,284.15,284.15,43538700
2025-12-04,280.70,280.70,280.70,280.70,280.70,43989100
2025-12-05,278.78,278.78,278.78,278.78,278.78,47265800
