Date,Open,High,Low,Close,Adj Close,Volume
2025-08-08,520.21,520.21,520.21,520.21,520.21,15531000
2025-08-11,519.94,519.94,519.94,519.94,519.94,20194400
2025-08-12,527.38,527.38,527.38,527.38,527.38,18667000
2025-08-13,518.75,518.75,518.75,518.75,518.75,19619200
2025-08-14,520.65,520.65,520.65,520.65,520.65,20269100
2025-08-15,518.35,518.35,518.35,518.35,518.35,25213300
2025-08-18,515.29,515.29,515.29,515.29,515.29,23760600
2025-08-19,507.98,507.98,507.98,507.98,507.98,21481000
2025-08-20,503.95,503.95,503.95,503.95,503.95,27723000
2025-08-21,503.30,503.30,503.30,503.30,503.30,18443300
2025-08-22,506.28,506.28,506.28,506.28,506.28,24324200
2025-08-25,503.32,503.32,503.32,503.32,503.32,21638600
2025-08-26,501.10,501.10,501.10,501.10,501.10,30835700
2025-08-27,505.79,505.79,505.79,505.79,505.79,17277900
2025-08-28,508.69,508.69,508.69,508.69,508.69,18015600
2025-08-29,505.74,505.74,505.74,505.74,505.74,20961600
2025-09-02,504.18,504.18,504.18,504.18,504.18,18128000
2025-09-03,504.41,504.41,504.41,504.41,504.41,16345100
2025-09-04,507.02,507.02,507.02,507.02,507.02,15509500
2025-09-05,494.08,494.08,494.08,494.08,494.08,31994800
2025-09-08,497.27,497.27,497.27,497.27,497.27,16771000
2025-09-09,497.48,497.48,497.48,497.48,497.48,14410500
2025-09-10,499.44,499.44,499.44,499.44,499.44,21611800
2025-09-11,500.07,500.07,500.07,500.07,500.07,18881600
2025-09-12,508.95,508.95,508.95,508.95,508.95,23624900
2025-09-15,514.40,514.40,514.40,514.40,514.40,17143800
2025-09-16,508.09,508.09,508.09,508.09,508.09,19711900
2025-09-17,509.07,509.07,509.07,509.07,509.07,15816600
2025-09-18,507.50,507.50,507.50,507.50,507.50,18913700
2025-09-19,516.96,516.96,516.96,516.96,516.96,52474100
2025-09-22,513.49,513.49,513.49,513.49,513.49,20009300
2025-09-23,508.28,508.28,508.28,508.28,508.28,19799600
2025-09-24,509.20,509.20,509.20,509.20,509.20,13533700
2025-09-25,506.08,506.08,506.08,506.08,506.08,15786500
2025-09-26,510.50,510.50,510.50,510.50,510.50,16213100
2025-09-29,513.64,513.64,513.64,513.64,513.64,17617800
2025-09-30,516.98,516.98,516.98,516.98,516.98,19728200
2025-10-01,518.74,518.74,518.74,518.74,518.74,22632300
2025-10-02,514.78,514.78,514.78,514.78,514.78,21222900
2025-10-03,516.38,516.38,516.38,516.38,516.38,15112300
2025-10-06,527.58,527.58,527.58,527.58,527.58,21388600
2025-10-07,523.00,523.00,523.00,523.00,523.00,14615200
2025-10-08,523.87,523.87,523.87,523.87,523.87,13363400
2025-10-09,521.42,521.42,521.42,521.42,521.42,18343600
2025-10-10,510.01,510.01,510.01,510.01,510.01,24133800
2025-10-13,513.09,513.09,513.09,513.09,513.09,14284200
2025-10-14,512.61,512.61,512.61,512.61,512.61,14684300
2025-10-15,512.47,512.47,512.47,512.47,512.47,14694700
2025-10-16,510.65,510.65,510.65,510.65,510.65,15559600
2025-10-17,512.62,512.62,512.62,512.62,512.62,19867800
2025-10-20,515.82,515.82,515.82,515.82,515.82,14665600
2025-10-21,516.69,516.69,516.69,516.69,516.69,15586200
2025-10-22,519.57,519.57,519.57,519.57,519.57,18962700
2025-10-23,519.59,519.59,519.59,519.59,519.59,14023500
2025-10-24,522.63,522.63,522.63,522.63,522.63,15532400
2025-10-27,530.53,530.53,530.53,530.53,530.53,18734700
2025-10-28,541.06,541.06,541.06,541.06,541.06,29986700
2025-10-29,540.54,540.54,540.54,540.54,540.54,36023000
2025-10-30,524.78,524.78,524.78,524.78,524.78,41023100
2025-10-31,516.84,516.84,516.84,516.84,516.84,34006400
2025-11-03,516.06,516.06,516.06,516.06,516.06,22374700
2025-11-04,513.37,513.37,513.37,513.37,513.37,20958700
2025-11-05,506.21,506.21,506.21,506.21,506.21,23024300
2025-11-06,496.17,496.17,496.17,496.17,496.17,27406500
2025-11-07,495.89,495.89,495.89,495.89,495.89,24019800
2025-11-10,505.05,505.05,505.05,505.05,505.05,26101500
2025-11-11,507.73,507.73,507.73,507.73,507.73,17980000
2025-11-12,510.19,510.19,510.19,510.19,510.19,26574900
2025-11-13,502.35,502.35,502.35,502.35,502.35,25273100
2025-11-14,509.23,509.23,509.23,509.23,509.23,28505700
2025-11-17,506.54,506.54,506.54,506.54,506.54,19092800
2025-11-18,492.87,492.87,492.87,492.87,492.87,33815100
2025-11-19,486.21,486.21,486.21,486.21,486.21,23245300
2025-11-20,478.43,478.43,478.43,478.43,478.43,26802500
2025-11-21,472.12,472.12,472.12,472.12,472.12,31769200
2025-11-24,474.00,474.00,474.00,474.00,474.00,34421000
2025-11-25,476.99,476.99,476.99,476.99,476.99,28019800
2025-11-26,485.50,485.50,485.50,485.50,485.50,25709100
2025-11-28,492.01,492.01,492.01,492.01,492.01,14386700
2025-12-01,486.74,486.74,486.74,486.74,486.74,23964000
2025-12-02,490.00,490.00,490.00,490.00,490.00,19562700
2025-12-03,477.73,477.73,477.73,477.73,477.73,34615100
2025-12-04,480.84,480.84,480.84,480.84,480.84,22318200
2025-12-05,483.16,483.16,483.16,483.16,483.16,22608700
